autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_1y4,TBP,713.32
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_1y4,TS,1069.99
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_2,TBFP,713.32
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_2,TBP,1426.65
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_2,TS,2139.98
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_3,TBFP,1069.99
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_3,TBP,2139.98
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA31,Carlos Valdovinos - Alameda,3.55,categoria_3,TS,3209.98
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_1y4,TBFP,175.82
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_1y4,TBP,351.64
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_1y4,TS,527.46
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_2,TBFP,351.64
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_2,TBP,703.28
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_2,TS,1054.92
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_3,TBFP,527.46
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_3,TBP,1054.92
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA13,Alameda - Río Mapocho,1.75,categoria_3,TS,1582.38
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA16,Río Mapocho - 14 de la Fama,4.09,categoria_1y4,TBFP,410.91
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA16,Río Mapocho - 14 de la Fama,4.09,categoria_1y4,TBP,821.83
